"FMTNAME"	"START"	"END"	"LABEL"	"MIN"	"MAX"	"DEFAULT"	"LENGTH"	"FUZZ"	"PREFIX"	"MULT"	"FILL"	"NOEDIT"	"TYPE"	"SEXCL"	"EEXCL"	"HLO"	"DECSEP"	"DIG3SEP"	"DATATYPE"	"LANGUAGE"
"25"	"AEGRADE"	"               1"	"               1"	"MILD"	1	40	16	16	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"26"	"AEGRADE"	"               2"	"               2"	"MODERATE"	1	40	16	16	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"27"	"AEGRADE"	"               3"	"               3"	"SEVERE"	1	40	16	16	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"28"	"AEGRADE"	"               4"	"               4"	"LIFE THREATENING"	1	40	16	16	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"29"	"AENONE"	"              .Y"	"              .Y"	"ND"	1	40	12	12	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"30"	"AENONE"	"              .Z"	"              .Z"	"NE"	1	40	12	12	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"31"	"AENONE"	"               0"	"               0"	"NONE"	1	40	12	12	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"32"	"AENONE"	"             999"	"             999"	"FORM MISSING"	1	40	12	12	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"33"	"AEOUT"	"              .Y"	"              .Y"	"ND"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"34"	"AEOUT"	"              .Z"	"              .Z"	"NE"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"35"	"AEOUT"	"               1"	"               1"	"ONGOING"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"36"	"AEOUT"	"               2"	"               2"	"RESOLVED"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"37"	"AEOUT"	"               3"	"               3"	"DEATH"	1	40	8	8	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"38"	"AESERNY"	"              .Y"	"              .Y"	"ND"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"39"	"AESERNY"	"              .Z"	"              .Z"	"NE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"40"	"AESERNY"	"               0"	"               0"	"NO"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"41"	"AESERNY"	"               1"	"               1"	"YES"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"42"	"AESTAT"	"              .Y"	"              .Y"	"ND"	1	40	27	27	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"43"	"AESTAT"	"              .Z"	"              .Z"	"NE"	1	40	27	27	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"44"	"AESTAT"	"               1"	"               1"	"ONGOING WITHOUT CHANGE"	1	40	27	27	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"45"	"AESTAT"	"               2"	"               2"	"NEW OR CHANGE TO ONGOING AE"	1	40	27	27	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"46"	"AETYPE"	"               1"	"               1"	"FEVER"	1	40	9	9	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"47"	"AETYPE"	"               2"	"               2"	"INFECTION"	1	40	9	9	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"48"	"AGE65C"	"               0"	"               0"	"<65"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"49"	"AGE65C"	"               1"	"               1"	">=65"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"50"	"AGE65C"	"               2"	"               2"	"Missing"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"51"	"AGE75C"	"               0"	"               0"	"<75"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"52"	"AGE75C"	"               1"	"               1"	">=75"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"53"	"AGE75C"	"               2"	"               2"	"Missing"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"54"	"AGEC"	"               1"	"               1"	"<50"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"55"	"AGEC"	"               2"	"               2"	"50-64"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"56"	"AGEC"	"               3"	"               3"	"65-74"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"57"	"AGEC"	"               4"	"               4"	">=75"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"58"	"AGEC"	"               5"	"               5"	"Missing"	1	40	7	7	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"59"	"ANALG"	"               1"	"               1"	"ANALGESICS OPIOIDS"	1	40	22	22	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"60"	"ANALG"	"               2"	"               2"	"ANALGESICS NON OPIOIDS"	1	40	22	22	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"61"	"ANALG"	"               3"	"               3"	"ANALGESICS UNSPECIFIED"	1	40	22	22	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"62"	"ANALGD"	"               ."	"               ."	"-"	1	40	4	1	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"63"	"ANALGD"	"              .Y"	"              .Y"	"-"	1	40	4	1	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"64"	"ANALGD"	"              .Z"	"              .Z"	"-"	1	40	4	1	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"65"	"ANALGSC"	"              .Y"	"              .Y"	"ND"	1	40	8	2	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"66"	"ANALGSC"	"              .Z"	"              .Z"	"NE"	1	40	8	2	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"67"	"ARM"	"               ."	"               ."	"NO TRT"	1	40	6	6	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"68"	"ARM"	"               1"	"               1"	"ARM B"	1	40	6	6	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"69"	"ARM"	"               2"	"               2"	"ARM C"	1	40	6	6	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"70"	"ARM"	"               3"	"               3"	"ARM A"	1	40	6	6	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"71"	"ARM"	"               9"	"               9"	"NO TRT"	1	40	6	6	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"72"	"ARM"	"              99"	"              99"	"NO TRT"	1	40	6	6	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"73"	"ASSOC"	"               ."	"               ."	""	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"74"	"ASSOC"	"               1"	"               1"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"75"	"ASSOC"	"               2"	"               2"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"76"	"ASSOC"	"               3"	"               3"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"77"	"ASSOC"	"               4"	"               4"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"78"	"ASSOC"	"               5"	"               5"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"79"	"ASSOC"	"               6"	"               6"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"80"	"ASSOC"	"               7"	"               7"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"81"	"ASSOC"	"               8"	"               8"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"82"	"ASSOC"	"               9"	"               9"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"83"	"ASSOC"	"              10"	"              10"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"84"	"ASSOC"	"              11"	"              11"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"85"	"ASSOC"	"              12"	"              12"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"86"	"ASSOC"	"              13"	"              13"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"87"	"ASSOC"	"              14"	"              14"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"88"	"ASSOC"	"              15"	"              15"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"89"	"ASSOC"	"              16"	"              16"	"PLE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"90"	"ASSOC"	"              17"	"              17"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"91"	"ASSOC"	"              18"	"              18"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"92"	"ASSOC"	"              19"	"              19"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"93"	"ASSOC"	"              20"	"              20"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"94"	"ASSOC"	"              21"	"              21"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"95"	"ASSOC"	"              22"	"              22"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"96"	"ASSOC"	"              23"	"              23"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"97"	"ASSOC"	"              24"	"              24"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"98"	"ASSOC"	"              25"	"              25"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"99"	"ASSOC"	"              26"	"              26"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"100"	"ASSOC"	"              27"	"              27"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"101"	"ASSOC"	"              28"	"              28"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"102"	"ASSOC"	"              29"	"              29"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"103"	"ASSOC"	"              30"	"              30"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"104"	"ASSOC"	"              31"	"              31"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"105"	"ASSOC"	"              32"	"              32"	"ASC"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"106"	"ASSOC"	"              33"	"              33"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"107"	"ASSOC"	"              34"	"              34"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"108"	"ASSOC"	"              35"	"              35"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"109"	"ASSOC"	"              36"	"              36"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"110"	"ASSOC"	"              37"	"              37"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"111"	"ASSOC"	"              38"	"              38"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"112"	"ASSOC"	"              39"	"              39"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"113"	"ASSOC"	"              40"	"              40"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"114"	"ASSOC"	"              41"	"              41"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"115"	"ASSOC"	"              42"	"              42"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"116"	"ASSOC"	"              43"	"              43"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"117"	"ASSOC"	"              44"	"              44"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"118"	"ASSOC"	"              45"	"              45"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"119"	"ASSOC"	"              46"	"              46"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"120"	"ASSOC"	"              47"	"              47"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"121"	"ASSOC"	"              48"	"              48"	"PLE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"122"	"ASSOC"	"              49"	"              49"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"123"	"ASSOC"	"              50"	"              50"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"124"	"ASSOC"	"              51"	"              51"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"125"	"ASSOC"	"              52"	"              52"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"126"	"ASSOC"	"              53"	"              53"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"127"	"ASSOC"	"              54"	"              54"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"128"	"ASSOC"	"              55"	"              55"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"129"	"ASSOC"	"              56"	"              56"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"130"	"ASSOC"	"              57"	"              57"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"131"	"ASSOC"	"              58"	"              58"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"132"	"ASSOC"	"              59"	"              59"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"133"	"ASSOC"	"              60"	"              60"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"134"	"ASSOC"	"              61"	"              61"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"135"	"ASSOC"	"              62"	"              62"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"136"	"ASSOC"	"              63"	"              63"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"137"	"ASSOC"	"              64"	"              64"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"138"	"ASSOC"	"              65"	"              65"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"139"	"ASSOC"	"              66"	"              66"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"140"	"ASSOC"	"              67"	"              67"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"141"	"ASSOC"	"              68"	"              68"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"142"	"ASSOC"	"              69"	"              69"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"143"	"ASSOC"	"              70"	"              70"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"144"	"ASSOC"	"              71"	"              71"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"145"	"ASSOC"	"              72"	"              72"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"146"	"ASSOC"	"              73"	"              73"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"147"	"ASSOC"	"              74"	"              74"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"148"	"ASSOC"	"              75"	"              75"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"149"	"ASSOC"	"              76"	"              76"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"150"	"ASSOC"	"              77"	"              77"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"151"	"ASSOC"	"              78"	"              78"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"152"	"ASSOC"	"              79"	"              79"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"153"	"ASSOC"	"              80"	"              80"	"PLE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"154"	"ASSOC"	"              81"	"              81"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"155"	"ASSOC"	"              82"	"              82"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"156"	"ASSOC"	"              83"	"              83"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"157"	"ASSOC"	"              84"	"              84"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"158"	"ASSOC"	"              85"	"              85"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"159"	"ASSOC"	"              86"	"              86"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"160"	"ASSOC"	"              87"	"              87"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"161"	"ASSOC"	"              88"	"              88"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"162"	"ASSOC"	"              89"	"              89"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"163"	"ASSOC"	"              90"	"              90"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"164"	"ASSOC"	"              91"	"              91"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"165"	"ASSOC"	"              92"	"              92"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"166"	"ASSOC"	"              93"	"              93"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"167"	"ASSOC"	"              94"	"              94"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"168"	"ASSOC"	"              95"	"              95"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"169"	"ASSOC"	"              96"	"              96"	"ASC"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"170"	"ASSOC"	"              97"	"              97"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"171"	"ASSOC"	"              98"	"              98"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"172"	"ASSOC"	"              99"	"              99"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"173"	"ASSOC"	"             100"	"             100"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"174"	"ASSOC"	"             101"	"             101"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"175"	"ASSOC"	"             102"	"             102"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"176"	"ASSOC"	"             103"	"             103"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"177"	"ASSOC"	"             104"	"             104"	"BRA"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"178"	"ASSOC"	"             105"	"             105"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"179"	"ASSOC"	"             106"	"             106"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"180"	"ASSOC"	"             107"	"             107"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"181"	"ASSOC"	"             108"	"             108"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"182"	"ASSOC"	"             109"	"             109"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"183"	"ASSOC"	"             110"	"             110"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"184"	"ASSOC"	"             111"	"             111"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"185"	"ASSOC"	"             112"	"             112"	"PLE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"186"	"ASSOC"	"             113"	"             113"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"187"	"ASSOC"	"             114"	"             114"	"PER"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"188"	"ASSOC"	"             115"	"             115"	"EDE"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
"189"	"ASSOC"	"             116"	"             116"	"LUN"	1	40	3	3	1e-12	""	0	""	0	"N"	"N"	"N"	""	""	""	""	""
