"","First","Second","p","weight"
"HEIGHTBLxALP","HEIGHTBL","ALP",0,3273
"HEIGHTBLxALT","HEIGHTBL","ALT",0.7015,1493.66666666667
"HEIGHTBLxAST","HEIGHTBL","AST",0,3369.66666666667
"HEIGHTBLxCA","HEIGHTBL","CA",0.4307,1769.66666666667
"HEIGHTBLxCREAT","HEIGHTBL","CREAT",0.5053,1947
"HEIGHTBLxHB","HEIGHTBL","HB",0,3304.66666666667
"HEIGHTBLxLDH","HEIGHTBL","LDH",0,3381.66666666667
"HEIGHTBLxNEU","HEIGHTBL","NEU",0.5172,1481.16666666667
"HEIGHTBLxPLT","HEIGHTBL","PLT",0.5645,1060.33333333333
"HEIGHTBLxPSA","HEIGHTBL","PSA",1e-04,2662.66666666667
"HEIGHTBLxTBILI","HEIGHTBL","TBILI",0.7121,1377.33333333333
"HEIGHTBLxTESTO","HEIGHTBL","TESTO",0.6468,1464
"HEIGHTBLxWBC","HEIGHTBL","WBC",0.8027,1007
"HEIGHTBLxCREACL","HEIGHTBL","CREACL",0.3432,1299.33333333333
"HEIGHTBLxNA.","HEIGHTBL","NA.",0.4889,1171.83333333333
"HEIGHTBLxMG","HEIGHTBL","MG",0.5828,1196.5
"HEIGHTBLxPHOS","HEIGHTBL","PHOS",0.1197,1961.66666666667
"HEIGHTBLxALB","HEIGHTBL","ALB",0.001,3189.66666666667
"HEIGHTBLxTPRO","HEIGHTBL","TPRO",0.7217,1926
"HEIGHTBLxRBC","HEIGHTBL","RBC",0,2780.66666666667
"HEIGHTBLxLYM","HEIGHTBL","LYM",0.0689,2038.33333333333
"HEIGHTBLxBUN","HEIGHTBL","BUN",0.752,445.166666666667
"HEIGHTBLxCCRC","HEIGHTBL","CCRC",0.4921,1360.83333333333
"HEIGHTBLxGLU","HEIGHTBL","GLU",0.7429,686.833333333333
"HEIGHTBLxSYSTOLICBP","HEIGHTBL","SYSTOLICBP",0.0048,2890
"HEIGHTBLxDIASTOLICBP","HEIGHTBL","DIASTOLICBP",0.047,2431
"HEIGHTBLxPULSE","HEIGHTBL","PULSE",0.6258,1017.66666666667
"HEIGHTBLxHEMAT","HEIGHTBL","HEMAT",0,3279.33333333333
"HEIGHTBLxSPEGRA","HEIGHTBL","SPEGRA",0.689,1435.33333333333
"HEIGHTBLxLYMperLEU","HEIGHTBL","LYMperLEU",0.0184,2669
"HEIGHTBLxMONO","HEIGHTBL","MONO",0.568,981.833333333333
"HEIGHTBLxMONOperLEU","HEIGHTBL","MONOperLEU",0.6585,1106.16666666667
"HEIGHTBLxNEUperLEU","HEIGHTBL","NEUperLEU",0.1055,2239.66666666667
"HEIGHTBLxPOT","HEIGHTBL","POT",0.5788,837.5
"HEIGHTBLxBASOperLEU","HEIGHTBL","BASOperLEU",0.7185,767.166666666667
"HEIGHTBLxEOS","HEIGHTBL","EOS",0.8482,1214.5
"HEIGHTBLxEOSperLEU","HEIGHTBL","EOSperLEU",0.9098,601.5
"HEIGHTBLxAGEGRP2","HEIGHTBL","AGEGRP2",0.6146,954.833333333333
"WEIGHTBLxWEIGHTBL","WEIGHTBL","WEIGHTBL",0.1445,1735.5
"WEIGHTBLxALP","WEIGHTBL","ALP",0,2435.66666666667
"WEIGHTBLxALT","WEIGHTBL","ALT",0.285,1829.33333333333
"WEIGHTBLxAST","WEIGHTBL","AST",0.3829,2066.33333333333
"WEIGHTBLxCA","WEIGHTBL","CA",0.0479,1798.16666666667
"WEIGHTBLxCREAT","WEIGHTBL","CREAT",0.1899,1158.5
"WEIGHTBLxHB","WEIGHTBL","HB",0,3242
"WEIGHTBLxLDH","WEIGHTBL","LDH",0.7401,1678.33333333333
"WEIGHTBLxNEU","WEIGHTBL","NEU",0.8338,2021.66666666667
"WEIGHTBLxPLT","WEIGHTBL","PLT",0.7736,1426
"WEIGHTBLxPSA","WEIGHTBL","PSA",0.0146,2184.33333333333
"WEIGHTBLxTBILI","WEIGHTBL","TBILI",0.2996,1712
"WEIGHTBLxTESTO","WEIGHTBL","TESTO",0.6476,1329
"WEIGHTBLxWBC","WEIGHTBL","WBC",0.4306,1321.16666666667
"WEIGHTBLxCREACL","WEIGHTBL","CREACL",0.0563,1668.5
"WEIGHTBLxNA.","WEIGHTBL","NA.",0.0461,1739.5
"WEIGHTBLxMG","WEIGHTBL","MG",0.5138,1206.66666666667
"WEIGHTBLxPHOS","WEIGHTBL","PHOS",0.1506,2813.33333333333
"WEIGHTBLxALB","WEIGHTBL","ALB",2e-04,3118.33333333333
"WEIGHTBLxTPRO","WEIGHTBL","TPRO",0.1296,1967.66666666667
"WEIGHTBLxRBC","WEIGHTBL","RBC",2e-04,2886.66666666667
"WEIGHTBLxLYM","WEIGHTBL","LYM",0.0728,2236
"WEIGHTBLxBUN","WEIGHTBL","BUN",0.234,2200.66666666667
"WEIGHTBLxCCRC","WEIGHTBL","CCRC",0.0748,1301.5
"WEIGHTBLxGLU","WEIGHTBL","GLU",0.3361,1197.5
"WEIGHTBLxSYSTOLICBP","WEIGHTBL","SYSTOLICBP",9e-04,2989.33333333333
"WEIGHTBLxDIASTOLICBP","WEIGHTBL","DIASTOLICBP",0.0109,2273.16666666667
"WEIGHTBLxPULSE","WEIGHTBL","PULSE",0.3199,1763.16666666667
"WEIGHTBLxHEMAT","WEIGHTBL","HEMAT",0,3184
"WEIGHTBLxSPEGRA","WEIGHTBL","SPEGRA",0.0857,1550.16666666667
"WEIGHTBLxLYMperLEU","WEIGHTBL","LYMperLEU",0.0011,2930.66666666667
"WEIGHTBLxMONO","WEIGHTBL","MONO",0.8587,1210.33333333333
"WEIGHTBLxMONOperLEU","WEIGHTBL","MONOperLEU",0.6803,785.333333333333
"WEIGHTBLxNEUperLEU","WEIGHTBL","NEUperLEU",0.8086,1543.66666666667
"WEIGHTBLxPOT","WEIGHTBL","POT",0.1795,2149.66666666667
"WEIGHTBLxBASOperLEU","WEIGHTBL","BASOperLEU",0.2257,1732.66666666667
"WEIGHTBLxEOS","WEIGHTBL","EOS",0.9647,1312.5
"WEIGHTBLxEOSperLEU","WEIGHTBL","EOSperLEU",0.5915,896
"WEIGHTBLxAGEGRP2","WEIGHTBL","AGEGRP2",0.7275,1173.16666666667
"ALPxALP","ALP","ALP",0,3231.66666666667
"ALPxALT","ALP","ALT",0,3189.66666666667
"ALPxAST","ALP","AST",0,3404.33333333333
"ALPxCA","ALP","CA",0,3292
"ALPxCREAT","ALP","CREAT",0,3135
"ALPxHB","ALP","HB",2e-04,2429
"ALPxLDH","ALP","LDH",0,3406.66666666667
"ALPxNEU","ALP","NEU",0,3126.33333333333
"ALPxPLT","ALP","PLT",3e-04,2687
"ALPxPSA","ALP","PSA",0,3239
"ALPxTBILI","ALP","TBILI",0,2461
"ALPxTESTO","ALP","TESTO",0.4905,1452.66666666667
"ALPxWBC","ALP","WBC",0,2467.66666666667
"ALPxCREACL","ALP","CREACL",0,2937.66666666667
"ALPxNA.","ALP","NA.",0,3292.33333333333
"ALPxMG","ALP","MG",0.6599,605.833333333333
"ALPxPHOS","ALP","PHOS",0.2078,1138.5
"ALPxALB","ALP","ALB",0,2471.33333333333
"ALPxTPRO","ALP","TPRO",0,2986
"ALPxRBC","ALP","RBC",0,2857.33333333333
"ALPxLYM","ALP","LYM",0.4394,1167.83333333333
"ALPxBUN","ALP","BUN",0,3291.66666666667
"ALPxCCRC","ALP","CCRC",0,2487.33333333333
"ALPxGLU","ALP","GLU",0,2834
"ALPxSYSTOLICBP","ALP","SYSTOLICBP",0,2456
"ALPxDIASTOLICBP","ALP","DIASTOLICBP",0,2471.66666666667
"ALPxPULSE","ALP","PULSE",0,2485.33333333333
"ALPxHEMAT","ALP","HEMAT",0,2448.66666666667
"ALPxSPEGRA","ALP","SPEGRA",0,3238.66666666667
"ALPxLYMperLEU","ALP","LYMperLEU",0.3316,1768.33333333333
"ALPxMONO","ALP","MONO",0,2192.33333333333
"ALPxMONOperLEU","ALP","MONOperLEU",0,3187
"ALPxNEUperLEU","ALP","NEUperLEU",0,3231.33333333333
"ALPxPOT","ALP","POT",0,2896.66666666667
"ALPxBASOperLEU","ALP","BASOperLEU",0.0988,2005.66666666667
"ALPxEOS","ALP","EOS",0.006,1317.83333333333
"ALPxEOSperLEU","ALP","EOSperLEU",0.0379,2158.66666666667
"ALPxAGEGRP2","ALP","AGEGRP2",0.0682,2331
"ALTxALT","ALT","ALT",0.6478,445.166666666667
"ALTxAST","ALT","AST",0.0198,2622.33333333333
"ALTxCA","ALT","CA",0.611,1747.33333333333
"ALTxCREAT","ALT","CREAT",0.6838,1533
"ALTxHB","ALT","HB",0.0055,2944.33333333333
"ALTxLDH","ALT","LDH",0.0314,2253.16666666667
"ALTxNEU","ALT","NEU",0.6051,918.333333333333
"ALTxPLT","ALT","PLT",0.6055,1341.83333333333
"ALTxPSA","ALT","PSA",5e-04,2540.33333333333
"ALTxTBILI","ALT","TBILI",0.7032,518.833333333333
"ALTxTESTO","ALT","TESTO",0.6538,979.333333333333
"ALTxWBC","ALT","WBC",0.7515,2023.33333333333
"ALTxCREACL","ALT","CREACL",0.613,1981
"ALTxNA.","ALT","NA.",0.6714,2040.66666666667
"ALTxMG","ALT","MG",0.4977,2507.33333333333
"ALTxPHOS","ALT","PHOS",0.1732,2126.66666666667
"ALTxALB","ALT","ALB",0.1213,2914.66666666667
"ALTxTPRO","ALT","TPRO",0.7211,896.833333333333
"ALTxRBC","ALT","RBC",0.0521,2682
"ALTxLYM","ALT","LYM",0.0892,1962.33333333333
"ALTxBUN","ALT","BUN",0.708,2171
"ALTxCCRC","ALT","CCRC",0.6292,2267
"ALTxGLU","ALT","GLU",0.7459,1954.66666666667
"ALTxSYSTOLICBP","ALT","SYSTOLICBP",0.1169,2927.66666666667
"ALTxDIASTOLICBP","ALT","DIASTOLICBP",0.2343,2015.66666666667
"ALTxPULSE","ALT","PULSE",0.6921,1740
"ALTxHEMAT","ALT","HEMAT",0.0113,2918.66666666667
"ALTxSPEGRA","ALT","SPEGRA",0.7101,1878.33333333333
"ALTxLYMperLEU","ALT","LYMperLEU",0.0858,2486.33333333333
"ALTxMONO","ALT","MONO",0.5147,1371.16666666667
"ALTxMONOperLEU","ALT","MONOperLEU",0.645,1022.83333333333
"ALTxNEUperLEU","ALT","NEUperLEU",0.4291,1089.66666666667
"ALTxPOT","ALT","POT",0.6892,2173.33333333333
"ALTxBASOperLEU","ALT","BASOperLEU",0.6464,920.5
"ALTxEOS","ALT","EOS",0.8748,901.833333333333
"ALTxEOSperLEU","ALT","EOSperLEU",0.8811,927.166666666667
"ALTxAGEGRP2","ALT","AGEGRP2",0.6951,1318.66666666667
"ASTxAST","AST","AST",0,3384.33333333333
"ASTxCA","AST","CA",2e-04,3246
"ASTxCREAT","AST","CREAT",0,3359
"ASTxHB","AST","HB",0.759,1826.33333333333
"ASTxLDH","AST","LDH",0,3408.33333333333
"ASTxNEU","AST","NEU",0.0067,2745.66666666667
"ASTxPLT","AST","PLT",0.0462,2107.33333333333
"ASTxPSA","AST","PSA",0,3332
"ASTxTBILI","AST","TBILI",0.0809,2552
"ASTxTESTO","AST","TESTO",0.61,812.5
"ASTxWBC","AST","WBC",0.0084,1434.5
"ASTxCREACL","AST","CREACL",1e-04,3115.33333333333
"ASTxNA.","AST","NA.",0,3328.33333333333
"ASTxMG","AST","MG",0.6818,1908.66666666667
"ASTxPHOS","AST","PHOS",0.1844,1461.33333333333
"ASTxALB","AST","ALB",0.3069,1756.5
"ASTxTPRO","AST","TPRO",0,3086.33333333333
"ASTxRBC","AST","RBC",0.3971,2517.33333333333
"ASTxLYM","AST","LYM",0.1348,1803.66666666667
"ASTxBUN","AST","BUN",4e-04,3207.33333333333
"ASTxCCRC","AST","CCRC",1e-04,2389.66666666667
"ASTxGLU","AST","GLU",0.0014,2390.33333333333
"ASTxSYSTOLICBP","AST","SYSTOLICBP",0.2791,1847
"ASTxDIASTOLICBP","AST","DIASTOLICBP",0.1751,2557.33333333333
"ASTxPULSE","AST","PULSE",0,2796
"ASTxHEMAT","AST","HEMAT",0.7473,1853.33333333333
"ASTxSPEGRA","AST","SPEGRA",0,3370
"ASTxLYMperLEU","AST","LYMperLEU",0.7234,890.5
"ASTxMONO","AST","MONO",0.012,2123
"ASTxMONOperLEU","AST","MONOperLEU",0.0045,2800.66666666667
"ASTxNEUperLEU","AST","NEUperLEU",0,3325
"ASTxPOT","AST","POT",2e-04,3013
"ASTxBASOperLEU","AST","BASOperLEU",0.8737,709.833333333333
"ASTxEOS","AST","EOS",0.2393,1124.83333333333
"ASTxEOSperLEU","AST","EOSperLEU",0.5842,1580.66666666667
"ASTxAGEGRP2","AST","AGEGRP2",0.3247,1423.5
"CAxCA","CA","CA",0.2199,1859.33333333333
"CAxCREAT","CA","CREAT",0.6085,1560.33333333333
"CAxHB","CA","HB",0,3308
"CAxLDH","CA","LDH",1e-04,3299.33333333333
"CAxNEU","CA","NEU",0.705,1785
"CAxPLT","CA","PLT",0.718,445.166666666667
"CAxPSA","CA","PSA",4e-04,2617.33333333333
"CAxTBILI","CA","TBILI",0.5593,445.166666666667
"CAxTESTO","CA","TESTO",0.6598,1368
"CAxWBC","CA","WBC",0.7013,682.833333333333
"CAxCREACL","CA","CREACL",0.0234,2506.66666666667
"CAxNA.","CA","NA.",0.0599,2357
"CAxMG","CA","MG",0.5763,771.833333333333
"CAxPHOS","CA","PHOS",0.1218,2406
"CAxALB","CA","ALB",0.0011,3131
"CAxTPRO","CA","TPRO",0.4581,1888.33333333333
"CAxRBC","CA","RBC",0,3091.33333333333
"CAxLYM","CA","LYM",0.0674,2031.66666666667
"CAxBUN","CA","BUN",0.6593,1111.66666666667
"CAxCCRC","CA","CCRC",0.059,1730.66666666667
"CAxGLU","CA","GLU",0.704,1123.83333333333
"CAxSYSTOLICBP","CA","SYSTOLICBP",7e-04,3151.66666666667
"CAxDIASTOLICBP","CA","DIASTOLICBP",0.0065,2296.5
"CAxPULSE","CA","PULSE",0.8292,1167
"CAxHEMAT","CA","HEMAT",0,3290.66666666667
"CAxSPEGRA","CA","SPEGRA",0.2063,1818.33333333333
"CAxLYMperLEU","CA","LYMperLEU",0.0044,2637.66666666667
"CAxMONO","CA","MONO",0.7689,843.5
"CAxMONOperLEU","CA","MONOperLEU",0.8554,989.833333333333
"CAxNEUperLEU","CA","NEUperLEU",0.5215,2183
"CAxPOT","CA","POT",0.629,746.833333333333
"CAxBASOperLEU","CA","BASOperLEU",0.506,1223.5
"CAxEOS","CA","EOS",0.9069,1428.5
"CAxEOSperLEU","CA","EOSperLEU",0.8604,554.833333333333
"CAxAGEGRP2","CA","AGEGRP2",0.6819,924.166666666667
"CREATxCREAT","CREAT","CREAT",0.4649,2315.33333333333
"CREATxHB","CREAT","HB",0,3281.66666666667
"CREATxLDH","CREAT","LDH",0,3397.33333333333
"CREATxNEU","CREAT","NEU",0.4563,1401.16666666667
"CREATxPLT","CREAT","PLT",0.5568,703.5
"CREATxPSA","CREAT","PSA",0,2409.66666666667
"CREATxTBILI","CREAT","TBILI",0.731,1480.33333333333
"CREATxTESTO","CREAT","TESTO",0.6452,1579
"CREATxWBC","CREAT","WBC",0.7931,837.833333333333
"CREATxCREACL","CREAT","CREACL",0.0951,2433.66666666667
"CREATxNA.","CREAT","NA.",0.6853,626.833333333333
"CREATxMG","CREAT","MG",0.6286,549.833333333333
"CREATxPHOS","CREAT","PHOS",0.1488,1732
"CREATxALB","CREAT","ALB",0.0045,2834.33333333333
"CREATxTPRO","CREAT","TPRO",0.7331,2399.66666666667
"CREATxRBC","CREAT","RBC",0,2212.83333333333
"CREATxLYM","CREAT","LYM",0.0821,1950.33333333333
"CREATxBUN","CREAT","BUN",0.6711,788.5
"CREATxCCRC","CREAT","CCRC",0.1435,2228.83333333333
"CREATxGLU","CREAT","GLU",0.6821,921
"CREATxSYSTOLICBP","CREAT","SYSTOLICBP",0.0111,2281.5
"CREATxDIASTOLICBP","CREAT","DIASTOLICBP",0.0829,2489
"CREATxPULSE","CREAT","PULSE",0.4572,1929
"CREATxHEMAT","CREAT","HEMAT",0,3204
"CREATxSPEGRA","CREAT","SPEGRA",0.5328,2394
"CREATxLYMperLEU","CREAT","LYMperLEU",0.0228,2485
"CREATxMONO","CREAT","MONO",0.4801,1566
"CREATxMONOperLEU","CREAT","MONOperLEU",0.5855,1358.66666666667
"CREATxNEUperLEU","CREAT","NEUperLEU",0.0744,2113
"CREATxPOT","CREAT","POT",0.5407,1009.5
"CREATxBASOperLEU","CREAT","BASOperLEU",0.7437,702.166666666667
"CREATxEOS","CREAT","EOS",0.8561,1213.83333333333
"CREATxEOSperLEU","CREAT","EOSperLEU",0.9238,651.5
"CREATxAGEGRP2","CREAT","AGEGRP2",0.6031,821.666666666667
"HBxHB","HB","HB",0,3364.66666666667
"HBxLDH","HB","LDH",0.1326,1367.16666666667
"HBxNEU","HB","NEU",0.3686,1336.5
"HBxPLT","HB","PLT",0.3429,2108.83333333333
"HBxPSA","HB","PSA",0.0469,2092.66666666667
"HBxTBILI","HB","TBILI",0.0273,2004.16666666667
"HBxTESTO","HB","TESTO",0.6515,1313
"HBxWBC","HB","WBC",0.0016,2936.66666666667
"HBxCREACL","HB","CREACL",0,3378
"HBxNA.","HB","NA.",0,3382.66666666667
"HBxMG","HB","MG",0.3907,1546.66666666667
"HBxPHOS","HB","PHOS",0.0863,2467.66666666667
"HBxALB","HB","ALB",0,3387.33333333333
"HBxTPRO","HB","TPRO",0,3099.66666666667
"HBxRBC","HB","RBC",0,3334.66666666667
"HBxLYM","HB","LYM",0.0463,2407.66666666667
"HBxBUN","HB","BUN",0,3260
"HBxCCRC","HB","CCRC",0,3369
"HBxGLU","HB","GLU",0.0012,3211.66666666667
"HBxSYSTOLICBP","HB","SYSTOLICBP",0,3402.33333333333
"HBxDIASTOLICBP","HB","DIASTOLICBP",0,3337.66666666667
"HBxPULSE","HB","PULSE",0,2974
"HBxHEMAT","HB","HEMAT",0,3356.66666666667
"HBxSPEGRA","HB","SPEGRA",0,3366.33333333333
"HBxLYMperLEU","HB","LYMperLEU",0,2367
"HBxMONO","HB","MONO",0.5321,1113.16666666667
"HBxMONOperLEU","HB","MONOperLEU",0.1833,898.5
"HBxNEUperLEU","HB","NEUperLEU",0.0257,1997.16666666667
"HBxPOT","HB","POT",0,3282.33333333333
"HBxBASOperLEU","HB","BASOperLEU",0.0318,1825.33333333333
"HBxEOS","HB","EOS",0.908,984.166666666667
"HBxEOSperLEU","HB","EOSperLEU",0.3198,717.166666666667
"HBxAGEGRP2","HB","AGEGRP2",0.7367,1500.33333333333
"LDHxLDH","LDH","LDH",0,3392
"LDHxNEU","LDH","NEU",0.0247,2203.16666666667
"LDHxPLT","LDH","PLT",0.123,1760.66666666667
"LDHxPSA","LDH","PSA",0,3300.33333333333
"LDHxTBILI","LDH","TBILI",0.2437,1867
"LDHxTESTO","LDH","TESTO",0.6314,717.833333333333
"LDHxWBC","LDH","WBC",0.0407,1978.5
"LDHxCREACL","LDH","CREACL",0,2800
"LDHxNA.","LDH","NA.",0,3336.33333333333
"LDHxMG","LDH","MG",0.6923,566.166666666667
"LDHxPHOS","LDH","PHOS",0.1461,1733.33333333333
